id,mit_number,name,zone,primary_type,hosts,what_it_does,address,lat,lon,function_confidence,coords_status
bldg10,10,Building 10 (Great Dome),main_group,academic,lecture;library;orientation,Great Dome and Lobby 10; Barker Engineering Library (10-500); Bush Room (10-105).,,42.35967,-71.09199,high,osm_footprint_centroid
bldg2,2,Building 2 (Simons Building),main_group,academic,lecture,Mathematics; classrooms such as 2-190.,182 Memorial Dr,42.35881,-71.09015,high,osm_footprint_centroid
bldg4,4,Building 4,main_group,academic,lecture;lab,Main Group classrooms (e.g. 4-370 lecture room) and labs.,,42.35946,-71.09107,medium,osm_footprint_centroid
bldg6,6,Building 6,main_group,academic,lecture;lab,Chemistry; lecture hall 6-120.,,42.35955,-71.09043,medium,osm_footprint_centroid
hayden,14,Building 14 (Hayden / Humanities),main_group,library,library;lecture,Hayden Library and Humanities; Lewis Music Library.,160 Memorial Dr,42.35919,-71.08930,high,osm_footprint_centroid
killian,,Killian Court,main_group,outdoor,outdoor;orientation,Great lawn south of Building 10 facing the river; outdoor event space.,,42.35895,-71.0919,high,estimated_pm100m
bldg26,26,Building 26 (Compton Labs),north_vassar,academic,lecture,Large lecture hall 26-100 and labs.,60 Vassar St,42.36089,-71.09119,medium,osm_footprint_centroid
bldg45,45,Building 45 (Schwarzman College of Computing),north_vassar,academic,lecture;lab,Schwarzman College of Computing; labs and classrooms.,51 Vassar St,42.36171,-71.09245,high,osm_footprint_centroid
bldg46,46,Building 46 (Brain & Cognitive Sciences),north_vassar,academic,lab;lecture,Brain and Cognitive Sciences complex.,43 Vassar St,42.36233,-71.09166,high,osm_footprint_centroid
stata,32,Building 32 (Stata Center),north_vassar,academic,lecture;lab;dining,CSAIL and LIDS (Dreyfoos tower); large auditorium 32-123; cafes.,32 Vassar St,42.36158,-71.09051,high,osm_footprint_centroid
media_lab,E14/E15,Media Lab (E14/E15),kendall_east,academic,lab;lecture,Media Lab; Bartos Theatre (E15-070).,75 Amherst St,42.36049,-71.08737,high,osm_footprint_centroid
sloan,E62,Sloan School (E62),kendall_east,academic,lecture,MIT Sloan School of Management classrooms.,100 Main St,42.361,-71.0839,medium,estimated_pm100m
mit_medical,E23,MIT Medical (E23),kendall_east,health,health_center,"Campus health center: urgent care, primary care, pharmacy.",25 Carleton St,42.3628,-71.0856,high,estimated_pm100m
student_center,W20,Stratton Student Center (W20),west_hub,student_life,dining;club_room;orientation,"Student org offices, food court, Tech Coop bookstore, event rooms; hub for student events.",84 Massachusetts Ave,42.35905,-71.09478,high,osm_footprint_centroid
kresge,W16,Kresge Auditorium (W16),west_hub,events,orientation,Large auditorium for convocation-scale events.,48 Massachusetts Ave,42.35814,-71.09504,high,osm_footprint_centroid
chapel,W15,MIT Chapel (W15),west_hub,student_life,club_room,Interfaith chapel; small gatherings and concerts.,48 Massachusetts Ave,42.35837,-71.09419,high,osm_footprint_centroid
kresge_oval,,Kresge Oval,west_hub,outdoor,outdoor;orientation,"Lawn between Kresge, the Chapel and the Student Center.",,42.3587,-71.09495,high,estimated_pm100m
zesiger,W35,Zesiger Sports & Fitness Center (W35),west_hub,gym,gym,"Gym, pool and courts.",120 Massachusetts Ave,42.35871,-71.09575,high,osm_footprint_centroid
johnson,W34,Johnson Athletics Center (W34),west_hub,gym,gym;orientation,"Rockwell Cage, indoor track and ice rink; large indoor event space.",,42.35860,-71.09655,medium,osm_footprint_centroid
central_sq,,Central Square,off_campus,off_campus,dining;party,Restaurants and bars west of campus.,,42.3654,-71.1037,high,estimated_pm100m
back_bay,,Back Bay fraternity/sorority houses,off_campus,off_campus,party;dorm_room,"Cluster of MIT fraternity, sorority and independent living groups across the Harvard Bridge.",,42.351,-71.087,medium,estimated_pm100m
