from_id,to_id,straight_line_m,walk_m_est,walk_min_est,method
baker,sloan,1364,1705,21.3,haversine_x1.25_at_80m_per_min
baker,mit_medical,1311,1639,20.5,haversine_x1.25_at_80m_per_min
baker,student_center,460,575,7.2,haversine_x1.25_at_80m_per_min
baker,kresge,386,483,6.0,haversine_x1.25_at_80m_per_min
baker,chapel,432,540,6.8,haversine_x1.25_at_80m_per_min
baker,kresge_oval,422,528,6.6,haversine_x1.25_at_80m_per_min
baker,zesiger,465,581,7.3,haversine_x1.25_at_80m_per_min
baker,johnson,450,563,7.0,haversine_x1.25_at_80m_per_min
baker,central_sq,952,1190,14.9,haversine_x1.25_at_80m_per_min
baker,back_bay,1263,1579,19.7,haversine_x1.25_at_80m_per_min
burton_conner,maseeh,567,709,8.9,haversine_x1.25_at_80m_per_min
burton_conner,mccormick,307,383,4.8,haversine_x1.25_at_80m_per_min
burton_conner,baker,163,203,2.5,haversine_x1.25_at_80m_per_min
burton_conner,macgregor,178,223,2.8,haversine_x1.25_at_80m_per_min
burton_conner,new_house,305,381,4.8,haversine_x1.25_at_80m_per_min
burton_conner,next_house,455,569,7.1,haversine_x1.25_at_80m_per_min
burton_conner,simmons,490,612,7.7,haversine_x1.25_at_80m_per_min
burton_conner,east_campus,1129,1411,17.6,haversine_x1.25_at_80m_per_min
burton_conner,bldg7,701,876,10.9,haversine_x1.25_at_80m_per_min
burton_conner,bldg3,766,958,12.0,haversine_x1.25_at_80m_per_min
burton_conner,bldg10,825,1032,12.9,haversine_x1.25_at_80m_per_min
burton_conner,bldg2,857,1072,13.4,haversine_x1.25_at_80m_per_min
burton_conner,bldg4,880,1099,13.7,haversine_x1.25_at_80m_per_min
burton_conner,bldg6,945,1181,14.8,haversine_x1.25_at_80m_per_min
burton_conner,hayden,981,1226,15.3,haversine_x1.25_at_80m_per_min
burton_conner,killian,819,1024,12.8,haversine_x1.25_at_80m_per_min
burton_conner,bldg26,798,997,12.5,haversine_x1.25_at_80m_per_min
burton_conner,bldg45,898,1123,14.0,haversine_x1.25_at_80m_per_min
burton_conner,bldg46,996,1244,15.6,haversine_x1.25_at_80m_per_min
burton_conner,stata,1115,1394,17.4,haversine_x1.25_at_80m_per_min
burton_conner,media_lab,1236,1545,19.3,haversine_x1.25_at_80m_per_min
burton_conner,sloan,1511,1888,23.6,haversine_x1.25_at_80m_per_min
burton_conner,mit_medical,1444,1805,22.6,haversine_x1.25_at_80m_per_min
burton_conner,student_center,601,752,9.4,haversine_x1.25_at_80m_per_min
burton_conner,kresge,537,671,8.4,haversine_x1.25_at_80m_per_min
burton_conner,chapel,584,731,9.1,haversine_x1.25_at_80m_per_min
burton_conner,kresge_oval,568,710,8.9,haversine_x1.25_at_80m_per_min
burton_conner,zesiger,579,724,9.1,haversine_x1.25_at_80m_per_min
burton_conner,johnson,529,661,8.3,haversine_x1.25_at_80m_per_min
burton_conner,central_sq,883,1103,13.8,haversine_x1.25_at_80m_per_min
burton_conner,back_bay,1413,1767,22.1,haversine_x1.25_at_80m_per_min
macgregor,maseeh,742,928,11.6,haversine_x1.25_at_80m_per_min
macgregor,mccormick,484,605,7.6,haversine_x1.25_at_80m_per_min
macgregor,baker,341,426,5.3,haversine_x1.25_at_80m_per_min
macgregor,burton_conner,178,223,2.8,haversine_x1.25_at_80m_per_min
macgregor,new_house,128,160,2.0,haversine_x1.25_at_80m_per_min
macgregor,next_house,280,350,4.4,haversine_x1.25_at_80m_per_min
macgregor,simmons,469,586,7.3,haversine_x1.25_at_80m_per_min
macgregor,east_campus,1295,1619,20.2,haversine_x1.25_at_80m_per_min
macgregor,bldg7,859,1074,13.4,haversine_x1.25_at_80m_per_min
macgregor,bldg3,926,1157,14.5,haversine_x1.25_at_80m_per_min
macgregor,bldg10,980,1225,15.3,haversine_x1.25_at_80m_per_min
macgregor,bldg2,1020,1275,15.9,haversine_x1.25_at_80m_per_min
macgregor,bldg4,1039,1298,16.2,haversine_x1.25_at_80m_per_min
macgregor,bldg6,1106,1382,17.3,haversine_x1.25_at_80m_per_min
macgregor,hayden,1144,1430,17.9,haversine_x1.25_at_80m_per_min
macgregor,killian,983,1229,15.4,haversine_x1.25_at_80m_per_min
macgregor,bldg26,933,1167,14.6,haversine_x1.25_at_80m_per_min
macgregor,bldg45,1034,1292,16.2,haversine_x1.25_at_80m_per_min
macgregor,bldg46,1133,1417,17.7,haversine_x1.25_at_80m_per_min
macgregor,stata,1256,1570,19.6,haversine_x1.25_at_80m_per_min
macgregor,media_lab,1393,1741,21.8,haversine_x1.25_at_80m_per_min
macgregor,sloan,1669,2086,26.1,haversine_x1.25_at_80m_per_min
macgregor,mit_medical,1588,1985,24.8,haversine_x1.25_at_80m_per_min
macgregor,student_center,761,951,11.9,haversine_x1.25_at_80m_per_min
macgregor,kresge,704,880,11.0,haversine_x1.25_at_80m_per_min
macgregor,chapel,753,941,11.8,haversine_x1.25_at_80m_per_min
macgregor,kresge_oval,731,914,11.4,haversine_x1.25_at_80m_per_min
macgregor,zesiger,719,898,11.2,haversine_x1.25_at_80m_per_min
macgregor,johnson,642,803,10.0,haversine_x1.25_at_80m_per_min
macgregor,central_sq,823,1029,12.9,haversine_x1.25_at_80m_per_min
macgregor,back_bay,1585,1981,24.8,haversine_x1.25_at_80m_per_min
new_house,maseeh,862,1078,13.5,haversine_x1.25_at_80m_per_min
new_house,mccormick,608,760,9.5,haversine_x1.25_at_80m_per_min
new_house,baker,466,582,7.3,haversine_x1.25_at_80m_per_min
new_house,burton_conner,305,381,4.8,haversine_x1.25_at_80m_per_min
new_house,macgregor,128,160,2.0,haversine_x1.25_at_80m_per_min
new_house,next_house,153,191,2.4,haversine_x1.25_at_80m_per_min
new_house,simmons,470,587,7.3,haversine_x1.25_at_80m_per_min
new_house,east_campus,1406,1758,22.0,haversine_x1.25_at_80m_per_min
new_house,bldg7,966,1207,15.1,haversine_x1.25_at_80m_per_min
new_house,bldg3,1033,1291,16.1,haversine_x1.25_at_80m_per_min
new_house,bldg10,1084,1354,16.9,haversine_x1.25_at_80m_per_min
new_house,bldg2,1130,1412,17.7,haversine_x1.25_at_80m_per_min
new_house,bldg4,1145,1431,17.9,haversine_x1.25_at_80m_per_min
new_house,bldg6,1212,1515,18.9,haversine_x1.25_at_80m_per_min
new_house,hayden,1252,1566,19.6,haversine_x1.25_at_80m_per_min
new_house,killian,1094,1367,17.1,haversine_x1.25_at_80m_per_min
new_house,bldg26,1023,1279,16.0,haversine_x1.25_at_80m_per_min
new_house,bldg45,1122,1403,17.5,haversine_x1.25_at_80m_per_min
new_house,bldg46,1223,1529,19.1,haversine_x1.25_at_80m_per_min
new_house,stata,1347,1684,21.1,haversine_x1.25_at_80m_per_min
new_house,media_lab,1496,1871,23.4,haversine_x1.25_at_80m_per_min
new_house,sloan,1772,2215,27.7,haversine_x1.25_at_80m_per_min
new_house,mit_medical,1680,2100,26.2,haversine_x1.25_at_80m_per_min
new_house,student_center,869,1086,13.6,haversine_x1.25_at_80m_per_min
new_house,kresge,818,1022,12.8,haversine_x1.25_at_80m_per_min
new_house,chapel,867,1084,13.5,haversine_x1.25_at_80m_per_min
new_house,kresge_oval,843,1053,13.2,haversine_x1.25_at_80m_per_min
new_house,zesiger,814,1017,12.7,haversine_x1.25_at_80m_per_min
new_house,johnson,723,903,11.3,haversine_x1.25_at_80m_per_min
new_house,central_sq,777,971,12.1,haversine_x1.25_at_80m_per_min
new_house,back_bay,1712,2140,26.8,haversine_x1.25_at_80m_per_min
next_house,maseeh,1005,1256,15.7,haversine_x1.25_at_80m_per_min
next_house,mccormick,755,944,11.8,haversine_x1.25_at_80m_per_min
next_house,baker,615,768,9.6,haversine_x1.25_at_80m_per_min
next_house,burton_conner,455,569,7.1,haversine_x1.25_at_80m_per_min
next_house,macgregor,280,350,4.4,haversine_x1.25_at_80m_per_min
next_house,new_house,153,191,2.4,haversine_x1.25_at_80m_per_min
next_house,simmons,502,628,7.9,haversine_x1.25_at_80m_per_min
next_house,east_campus,1537,1921,24.0,haversine_x1.25_at_80m_per_min
next_house,bldg7,1093,1366,17.1,haversine_x1.25_at_80m_per_min
next_house,bldg3,1160,1450,18.1,haversine_x1.25_at_80m_per_min
next_house,bldg10,1206,1508,18.8,haversine_x1.25_at_80m_per_min
next_house,bldg2,1259,1573,19.7,haversine_x1.25_at_80m_per_min
next_house,bldg4,1270,1588,19.8,haversine_x1.25_at_80m_per_min
next_house,bldg6,1338,1673,20.9,haversine_x1.25_at_80m_per_min
next_house,hayden,1380,1726,21.6,haversine_x1.25_at_80m_per_min
next_house,killian,1225,1531,19.1,haversine_x1.25_at_80m_per_min
next_house,bldg26,1131,1414,17.7,haversine_x1.25_at_80m_per_min
next_house,bldg45,1229,1536,19.2,haversine_x1.25_at_80m_per_min
next_house,bldg46,1330,1662,20.8,haversine_x1.25_at_80m_per_min
next_house,stata,1455,1819,22.7,haversine_x1.25_at_80m_per_min
next_house,media_lab,1617,2022,25.3,haversine_x1.25_at_80m_per_min
next_house,sloan,1892,2365,29.6,haversine_x1.25_at_80m_per_min
next_house,mit_medical,1787,2234,27.9,haversine_x1.25_at_80m_per_min
next_house,student_center,998,1248,15.6,haversine_x1.25_at_80m_per_min
next_house,kresge,954,1192,14.9,haversine_x1.25_at_80m_per_min
next_house,chapel,1003,1254,15.7,haversine_x1.25_at_80m_per_min
next_house,kresge_oval,975,1219,15.2,haversine_x1.25_at_80m_per_min
next_house,zesiger,930,1163,14.5,haversine_x1.25_at_80m_per_min
next_house,johnson,826,1032,12.9,haversine_x1.25_at_80m_per_min
next_house,central_sq,735,919,11.5,haversine_x1.25_at_80m_per_min
next_house,back_bay,1865,2331,29.1,haversine_x1.25_at_80m_per_min
simmons,maseeh,778,973,12.2,haversine_x1.25_at_80m_per_min
simmons,mccormick,622,778,9.7,haversine_x1.25_at_80m_per_min
simmons,baker,549,686,8.6,haversine_x1.25_at_80m_per_min
simmons,burton_conner,490,612,7.7,haversine_x1.25_at_80m_per_min
simmons,macgregor,469,586,7.3,haversine_x1.25_at_80m_per_min
simmons,new_house,470,587,7.3,haversine_x1.25_at_80m_per_min
simmons,next_house,502,628,7.9,haversine_x1.25_at_80m_per_min
simmons,east_campus,1188,1485,18.6,haversine_x1.25_at_80m_per_min
simmons,bldg7,759,949,11.9,haversine_x1.25_at_80m_per_min
simmons,bldg3,821,1026,12.8,haversine_x1.25_at_80m_per_min
simmons,bldg10,842,1053,13.2,haversine_x1.25_at_80m_per_min
simmons,bldg2,921,1151,14.4,haversine_x1.25_at_80m_per_min
simmons,bldg4,914,1143,14.3,haversine_x1.25_at_80m_per_min
simmons,bldg6,980,1225,15.3,haversine_x1.25_at_80m_per_min
simmons,hayden,1029,1286,16.1,haversine_x1.25_at_80m_per_min
simmons,killian,896,1121,14.0,haversine_x1.25_at_80m_per_min
simmons,bldg26,720,900,11.3,haversine_x1.25_at_80m_per_min
simmons,bldg45,806,1008,12.6,haversine_x1.25_at_80m_per_min
simmons,bldg46,904,1130,14.1,haversine_x1.25_at_80m_per_min
simmons,stata,1027,1284,16.0,haversine_x1.25_at_80m_per_min
simmons,media_lab,1227,1533,19.2,haversine_x1.25_at_80m_per_min
simmons,sloan,1491,1864,23.3,haversine_x1.25_at_80m_per_min
simmons,mit_medical,1350,1688,21.1,haversine_x1.25_at_80m_per_min
simmons,student_center,687,859,10.7,haversine_x1.25_at_80m_per_min
simmons,kresge,687,859,10.7,haversine_x1.25_at_80m_per_min
simmons,chapel,731,913,11.4,haversine_x1.25_at_80m_per_min
simmons,kresge_oval,686,857,10.7,haversine_x1.25_at_80m_per_min
simmons,zesiger,568,711,8.9,haversine_x1.25_at_80m_per_min
simmons,johnson,430,538,6.7,haversine_x1.25_at_80m_per_min
simmons,central_sq,403,504,6.3,haversine_x1.25_at_80m_per_min
simmons,back_bay,1736,2171,27.1,haversine_x1.25_at_80m_per_min
east_campus,maseeh,579,723,9.0,haversine_x1.25_at_80m_per_min
east_campus,mccormick,838,1047,13.1,haversine_x1.25_at_80m_per_min
east_campus,baker,976,1220,15.2,haversine_x1.25_at_80m_per_min
east_campus,burton_conner,1129,1411,17.6,haversine_x1.25_at_80m_per_min
east_campus,macgregor,1295,1619,20.2,haversine_x1.25_at_80m_per_min
east_campus,new_house,1406,1758,22.0,haversine_x1.25_at_80m_per_min
east_campus,next_house,1537,1921,24.0,haversine_x1.25_at_80m_per_min
east_campus,simmons,1188,1485,18.6,haversine_x1.25_at_80m_per_min
east_campus,bldg7,445,556,6.9,haversine_x1.25_at_80m_per_min
east_campus,bldg3,378,472,5.9,haversine_x1.25_at_80m_per_min
east_campus,bldg10,346,432,5.4,haversine_x1.25_at_80m_per_min
east_campus,bldg2,278,347,4.3,haversine_x1.25_at_80m_per_min
east_campus,bldg4,274,343,4.3,haversine_x1.25_at_80m_per_min
east_campus,bldg6,208,260,3.3,haversine_x1.25_at_80m_per_min
east_campus,hayden,160,200,2.5,haversine_x1.25_at_80m_per_min
east_campus,killian,312,391,4.9,haversine_x1.25_at_80m_per_min
east_campus,bldg26,490,612,7.6,haversine_x1.25_at_80m_per_min
east_campus,bldg45,440,550,6.9,haversine_x1.25_at_80m_per_min
east_campus,bldg46,388,485,6.1,haversine_x1.25_at_80m_per_min
east_campus,stata,348,435,5.4,haversine_x1.25_at_80m_per_min
east_campus,media_lab,182,228,2.9,haversine_x1.25_at_80m_per_min
east_campus,sloan,408,509,6.4,haversine_x1.25_at_80m_per_min
east_campus,mit_medical,465,581,7.3,haversine_x1.25_at_80m_per_min
east_campus,student_center,538,673,8.4,haversine_x1.25_at_80m_per_min
east_campus,kresge,593,741,9.3,haversine_x1.25_at_80m_per_min
east_campus,chapel,545,681,8.5,haversine_x1.25_at_80m_per_min
east_campus,kresge_oval,564,705,8.8,haversine_x1.25_at_80m_per_min
east_campus,zesiger,624,780,9.8,haversine_x1.25_at_80m_per_min
east_campus,johnson,758,948,11.8,haversine_x1.25_at_80m_per_min
east_campus,central_sq,1463,1829,22.9,haversine_x1.25_at_80m_per_min
east_campus,back_bay,900,1125,14.1,haversine_x1.25_at_80m_per_min
bldg7,maseeh,235,293,3.7,haversine_x1.25_at_80m_per_min
bldg7,mccormick,436,545,6.8,haversine_x1.25_at_80m_per_min
bldg7,baker,559,698,8.7,haversine_x1.25_at_80m_per_min
bldg7,burton_conner,701,876,10.9,haversine_x1.25_at_80m_per_min
bldg7,macgregor,859,1074,13.4,haversine_x1.25_at_80m_per_min
bldg7,new_house,966,1207,15.1,haversine_x1.25_at_80m_per_min
bldg7,next_house,1093,1366,17.1,haversine_x1.25_at_80m_per_min
bldg7,simmons,759,949,11.9,haversine_x1.25_at_80m_per_min
bldg7,east_campus,445,556,6.9,haversine_x1.25_at_80m_per_min
bldg7,bldg3,67,84,1.1,haversine_x1.25_at_80m_per_min
bldg7,bldg10,128,160,2.0,haversine_x1.25_at_80m_per_min
bldg7,bldg2,167,209,2.6,haversine_x1.25_at_80m_per_min
bldg7,bldg4,180,224,2.8,haversine_x1.25_at_80m_per_min
bldg7,bldg6,247,308,3.9,haversine_x1.25_at_80m_per_min
bldg7,hayden,288,359,4.5,haversine_x1.25_at_80m_per_min
bldg7,killian,138,173,2.2,haversine_x1.25_at_80m_per_min
bldg7,bldg26,209,261,3.3,haversine_x1.25_at_80m_per_min
bldg7,bldg45,274,343,4.3,haversine_x1.25_at_80m_per_min
bldg7,bldg46,343,429,5.4,haversine_x1.25_at_80m_per_min
bldg7,stata,443,554,6.9,haversine_x1.25_at_80m_per_min
bldg7,media_lab,535,669,8.4,haversine_x1.25_at_80m_per_min
bldg7,sloan,810,1013,12.7,haversine_x1.25_at_80m_per_min
bldg7,mit_medical,755,944,11.8,haversine_x1.25_at_80m_per_min
bldg7,student_center,99,124,1.6,haversine_x1.25_at_80m_per_min
bldg7,kresge,180,226,2.8,haversine_x1.25_at_80m_per_min
bldg7,chapel,148,186,2.3,haversine_x1.25_at_80m_per_min
bldg7,kresge_oval,138,173,2.2,haversine_x1.25_at_80m_per_min
bldg7,zesiger,192,239,3.0,haversine_x1.25_at_80m_per_min
bldg7,johnson,334,417,5.2,haversine_x1.25_at_80m_per_min
bldg7,central_sq,1076,1345,16.8,haversine_x1.25_at_80m_per_min
bldg7,back_bay,1069,1337,16.7,haversine_x1.25_at_80m_per_min
bldg3,maseeh,274,342,4.3,haversine_x1.25_at_80m_per_min
bldg3,mccormick,496,619,7.7,haversine_x1.25_at_80m_per_min
bldg3,baker,622,778,9.7,haversine_x1.25_at_80m_per_min
bldg3,burton_conner,766,958,12.0,haversine_x1.25_at_80m_per_min
bldg3,macgregor,926,1157,14.5,haversine_x1.25_at_80m_per_min
bldg3,new_house,1033,1291,16.1,haversine_x1.25_at_80m_per_min
bldg3,next_house,1160,1450,18.1,haversine_x1.25_at_80m_per_min
bldg3,simmons,821,1026,12.8,haversine_x1.25_at_80m_per_min
bldg3,east_campus,378,472,5.9,haversine_x1.25_at_80m_per_min
bldg3,bldg7,67,84,1.1,haversine_x1.25_at_80m_per_min
bldg3,bldg10,75,94,1.2,haversine_x1.25_at_80m_per_min
bldg3,bldg2,101,126,1.6,haversine_x1.25_at_80m_per_min
bldg3,bldg4,113,142,1.8,haversine_x1.25_at_80m_per_min
bldg3,bldg6,180,225,2.8,haversine_x1.25_at_80m_per_min
bldg3,hayden,220,275,3.4,haversine_x1.25_at_80m_per_min
bldg3,killian,78,98,1.2,haversine_x1.25_at_80m_per_min
bldg3,bldg26,212,265,3.3,haversine_x1.25_at_80m_per_min
bldg3,bldg45,253,317,4.0,haversine_x1.25_at_80m_per_min
bldg3,bldg46,305,382,4.8,haversine_x1.25_at_80m_per_min
bldg3,stata,394,492,6.2,haversine_x1.25_at_80m_per_min
bldg3,media_lab,470,587,7.3,haversine_x1.25_at_80m_per_min
bldg3,sloan,744,930,11.6,haversine_x1.25_at_80m_per_min
bldg3,mit_medical,697,871,10.9,haversine_x1.25_at_80m_per_min
bldg3,student_center,165,207,2.6,haversine_x1.25_at_80m_per_min
bldg3,kresge,239,298,3.7,haversine_x1.25_at_80m_per_min
bldg3,chapel,200,249,3.1,haversine_x1.25_at_80m_per_min
bldg3,kresge_oval,200,250,3.1,haversine_x1.25_at_80m_per_min
bldg3,zesiger,252,315,3.9,haversine_x1.25_at_80m_per_min
bldg3,johnson,392,490,6.1,haversine_x1.25_at_80m_per_min
bldg3,central_sq,1128,1410,17.6,haversine_x1.25_at_80m_per_min
bldg3,back_bay,1039,1299,16.2,haversine_x1.25_at_80m_per_min
bldg10,maseeh,349,436,5.4,haversine_x1.25_at_80m_per_min
bldg10,mccormick,564,705,8.8,haversine_x1.25_at_80m_per_min
bldg10,baker,686,857,10.7,haversine_x1.25_at_80m_per_min
bldg10,burton_conner,825,1032,12.9,haversine_x1.25_at_80m_per_min
bldg10,macgregor,980,1225,15.3,haversine_x1.25_at_80m_per_min
bldg10,new_house,1084,1354,16.9,haversine_x1.25_at_80m_per_min
bldg10,next_house,1206,1508,18.8,haversine_x1.25_at_80m_per_min
bldg10,simmons,842,1053,13.2,haversine_x1.25_at_80m_per_min
bldg10,east_campus,346,432,5.4,haversine_x1.25_at_80m_per_min
bldg10,bldg7,128,160,2.0,haversine_x1.25_at_80m_per_min
bldg10,bldg3,75,94,1.2,haversine_x1.25_at_80m_per_min
bldg10,bldg2,100,125,1.6,haversine_x1.25_at_80m_per_min
bldg10,bldg4,73,91,1.1,haversine_x1.25_at_80m_per_min
bldg10,bldg6,138,173,2.2,haversine_x1.25_at_80m_per_min
bldg10,hayden,187,234,2.9,haversine_x1.25_at_80m_per_min
bldg10,killian,108,135,1.7,haversine_x1.25_at_80m_per_min
bldg10,bldg26,173,216,2.7,haversine_x1.25_at_80m_per_min
bldg10,bldg45,189,236,3.0,haversine_x1.25_at_80m_per_min
bldg10,bldg46,231,289,3.6,haversine_x1.25_at_80m_per_min
bldg10,stata,319,399,5.0,haversine_x1.25_at_80m_per_min
bldg10,media_lab,413,516,6.5,haversine_x1.25_at_80m_per_min
bldg10,sloan,689,861,10.8,haversine_x1.25_at_80m_per_min
bldg10,mit_medical,627,784,9.8,haversine_x1.25_at_80m_per_min
bldg10,student_center,226,283,3.5,haversine_x1.25_at_80m_per_min
bldg10,kresge,308,384,4.8,haversine_x1.25_at_80m_per_min
bldg10,chapel,272,340,4.2,haversine_x1.25_at_80m_per_min
bldg10,kresge_oval,266,332,4.2,haversine_x1.25_at_80m_per_min
bldg10,zesiger,281,351,4.4,haversine_x1.25_at_80m_per_min
bldg10,johnson,412,515,6.4,haversine_x1.25_at_80m_per_min
bldg10,central_sq,1129,1411,17.6,haversine_x1.25_at_80m_per_min
bldg10,back_bay,1076,1345,16.8,haversine_x1.25_at_80m_per_min
bldg2,maseeh,332,415,5.2,haversine_x1.25_at_80m_per_min
bldg2,mccormick,576,720,9.0,haversine_x1.25_at_80m_per_min
bldg2,baker,708,885,11.1,haversine_x1.25_at_80m_per_min
bldg2,burton_conner,857,1072,13.4,haversine_x1.25_at_80m_per_min
bldg2,macgregor,1020,1275,15.9,haversine_x1.25_at_80m_per_min
bldg2,new_house,1130,1412,17.7,haversine_x1.25_at_80m_per_min
bldg2,next_house,1259,1573,19.7,haversine_x1.25_at_80m_per_min
bldg2,simmons,921,1151,14.4,haversine_x1.25_at_80m_per_min
bldg2,east_campus,278,347,4.3,haversine_x1.25_at_80m_per_min
bldg2,bldg7,167,209,2.6,haversine_x1.25_at_80m_per_min
bldg2,bldg3,101,126,1.6,haversine_x1.25_at_80m_per_min
bldg2,bldg10,100,125,1.6,haversine_x1.25_at_80m_per_min
bldg2,bldg4,53,67,0.8,haversine_x1.25_at_80m_per_min
bldg2,bldg6,93,117,1.5,haversine_x1.25_at_80m_per_min
bldg2,hayden,124,155,1.9,haversine_x1.25_at_80m_per_min
